starttime,endtime,msisdn,ulvolume,dlvolume,domain
2021-04-0212:23:10,2021-04-0212:24:48,1,10819,9960,app1
2021-04-0212:28:56,2021-04-0212:33:12,1,16067,10663,app1
2021-04-0216:24:21,2021-04-0216:38:28,2,1173,4265,app1
2021-04-0215:08:57,2021-04-0215:20:56,2,1200,192,app2
2021-04-0215:08:57,2021-04-0215:20:41,2,175130,101657,app2
2021-04-0215:09:22,2021-04-0215:21:02,2,1440,0,app2
2021-04-0215:09:22,2021-04-0215:20:35,2,3672,1152,app2
2021-04-0215:09:22,2021-04-0215:21:08,2,1440,0,app2
2021-04-0215:54:46,2021-04-0216:11:49,3,10932,5504,app3
2021-04-0215:54:46,2021-04-0215:55:34,3,500,580,app3
2021-04-0215:54:46,2021-04-0215:54:47,3,592,656,app3
2021-04-0215:54:46,2021-04-0216:11:48,3,382607,350215,app3
2021-04-0215:54:46,2021-04-0216:11:44,3,7728,5392,app3
2021-04-0215:54:46,2021-04-0216:11:30,3,1702305,1439409,app3
2021-04-0212:13:11,2021-04-0212:23:27,3,271,6030,app4
2021-04-0216:15:17,2021-04-0216:25:24,3,3524,663,app4
2021-04-0217:38:02,2021-04-0217:50:15,3,3358597,3733223,app4
2021-04-0217:44:16,2021-04-0217:57:03,3,4672568,4547960,app4
2021-04-0212:14:42,2021-04-0212:24:56,4,1456,968,app3
2021-04-0212:14:43,2021-04-0212:14:43,4,524,488,app3
2021-04-0212:14:43,2021-04-0212:14:43,4,940,760,app3
2021-04-0220:53:24,2021-04-0221:04:25,4,145880,64046,app3
2021-04-0220:53:25,2021-04-0220:53:34,4,1136,680,app3
2021-04-0220:53:25,2021-04-0220:53:39,4,1660,1132,app3
2021-04-0212:14:42,2021-04-0212:24:45,4,2328,2441,app3
2021-04-0212:14:42,2021-04-0212:24:55,4,668,408,app3
2021-04-0212:14:42,2021-04-0212:24:56,4,668,408,app3
2021-04-0220:53:24,2021-04-0221:04:13,4,496200,340357,app3
2021-04-0220:53:24,2021-04-0221:04:16,4,4312,896,app3
2021-04-0220:53:24,2021-04-0221:04:16,4,11792,2481,app3
2021-04-0222:27:36,2021-04-0222:34:55,4,6569,577,app4
2021-04-0222:30:52,2021-04-0222:34:55,4,27334,2478,app4
2021-04-0222:32:33,2021-04-0222:34:55,4,4162,343,app4
2021-04-0222:33:29,2021-04-0222:34:55,4,168536,27621,app4
2021-04-0222:34:15,2021-04-0222:34:55,4,7164,1348,app4
2021-04-0222:34:43,2021-04-0222:34:55,4,4311,1289,app4
